TimesUsed,OftenText,OftenVideo,OftenPhone,OftenSocialMedia,OftenSoloGame,OftenMultiplay,OftenEntertain,OftenCultural,OftenCreative,FeatureTalkFriends,FeatureTalkStranger,FeatureScreenshot,DataPriv,PrivFeatUsed,ControlPriv,BiometricDevelop,BiometricMarket,BiometricSellAnon,BiometricSellData,SoloVMulti,UseVRGames,UseVRUnique,UseVRImmersive,UseVRFriends,UseVRStrangers,UseVRAlone,UseVRDemo,PrimaryUseVR,WishFriends,VRAlone,Lonely,ConnectPeople,NegSocExperience,HarrBubble,HarrInvisib,HarrMute,HarrBlock,HarrLive,HarrVoice,IdealAvatar,WorkTime,HoursVR,USLive,State,GenderID,ConsiderHarrassment,DescribHarr,Howlong,Country
More than once a week,Daily,Once a week,Rarely,Daily,Rarely,2 + times per week,Rarely,Rarely,Rarely,Important,Neutral,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Exciting experiences,Agree,Disagree,Disagree,Agree,"Sexually suggestive or sexist comments, Catcalling/lewd noises, Rude gestures",Neutral,Effective,Neutral,Effective,Effective,Neutral,It doesn't look like me.,Over half of my time in VR is work-related.,2-5 hours,Yes,California,Female,No,NA,More than a year,NA
More than once a week,Daily,Once a week,Once a week,2+ times per week,2 + times per week,Daily,Once a week,Once a week,Daily,Very important,Very important,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Somewhat,Acceptable,Somewhat acceptable,Neutral,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Unique experiences,Strongly agree,Disagree,Agree,Agree,Personal space can get clumsy,Neutral,Effective,Effective,Neutral,Neutral,Ineffective,"It doesn't look like me., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,11-20 hours,Yes,Oregon,Male,No,Lucky to be around friendly folks,More than a year,NA
About once a week,Daily,Rarely,Daily,2+ times per week,Rarely,Once a week,Monthly,Monthly,Monthly,Important,Very important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Unique experiences,Disagree,Agree,Strongly disagree,Agree,I have experienced none of these,Effective,Neutral,Neutral,Effective,Effective,Strongly ineffective,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,Yes,Oregon,Transgender male,I don't know/Not applicable,NA,Between 6 months and a year,NA
More than once a week,Daily,2+ times per week,Daily,Daily,Once a week,Once a week,2 + times per week,2 + times per week,2 + times per week,Important,Neutral,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat acceptable,Neutral,Neutral,Somewhat unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Agree,Strongly agree,Agree,Disagree,I have experienced none of these,Effective,Strongly effective,Effective,Strongly effective,Neutral,Neutral,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,6-10 hours,Yes,Connecticut,Male,Yes,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,2 + times per week,Once a week,Once a week,2 + times per week,Very important,Important,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Acceptable,Acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Unique experiences,Strongly agree,Strongly disagree,Disagree,Agree,"Sexually suggestive or sexist comments, Rude gestures",Effective,Effective,Strongly effective,Neutral,Effective,Ineffective,The graphics look like a cartoon.,Less than half of my time in VR is work-related.,6-10 hours,Yes,California,Male,No,NA,Between 6 months and a year,NA
More than once a week,Daily,Monthly,2+ times per week,Daily,2 + times per week,2 + times per week,Once a week,2 + times per week,Once a week,Very important,Very important,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Anonymous browsers/proxies (Tor), Adblocker software",Very little,Unacceptable,Unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Unique experiences,Agree,Disagree,Agree,Agree,Rude gestures,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Effective,Strongly effective,"It looks non-human (robot/animal)., The graphics look realistic.",I don't use VR in my work.,2-5 hours,Yes,Oregon,Male,No,NA,Between 3 months and 6 months,NA
2-3x/month,Daily,Monthly,Daily,Daily,Monthly,Never used,Once a week,Monthly,Monthly,Important,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor)",Somewhat,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Exciting experiences,Agree,Disagree,Disagree,Agree,I have experienced none of these,Effective,Effective,Effective,Effective,Don't know/NA,Don't know/NA,"It looks like me., It looks non-human (robot/animal)., The graphics look like a cartoon.",I don't use VR in my work.,1 hour or less,Yes,Oregon,Male,I don't know/Not applicable,NA,Between 6 months and a year,NA
More than once a week,Daily,2+ times per week,2+ times per week,Daily,Rarely,Monthly,Rarely,Rarely,Rarely,Important,Important,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp)",Very little,Somewhat acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,"Create VR experiences for others to view, art, experiences, et al",Agree,Disagree,Agree,Agree,Racist or homophobic comments,Effective,Effective,Effective,Effective,Effective,Effective,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic.",Over half of my time in VR is work-related.,6-10 hours,Yes,Oregon,Male,No,NA,More than a year,NA
More than once a week,Daily,Once a week,Once a week,Daily,Never used,Rarely,Rarely,Rarely,Never used,Important,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Unique experiences,Disagree,Agree,Agree,Disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It doesn't look like me.,Over half of my time in VR is work-related.,2-5 hours,Yes,Ohio,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Daily,Daily,2 + times per week,2 + times per week,2 + times per week,Monthly,Monthly,Important,Important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Very little,Acceptable,Acceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Unique experiences,Agree,Agree,Agree,Agree,I have experienced none of these,Effective,Neutral,Neutral,Effective,Effective,Neutral,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,2-5 hours,Yes,California,Male,I don't know/Not applicable,NA,More than a year,NA
2-3x/month,Daily,Once a week,Daily,Daily,Once a week,Never used,2 + times per week,2 + times per week,Never used,Important,Neutral,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Very little,Acceptable,Acceptable,Somewhat acceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Unique experiences,Agree,Disagree,Disagree,Agree,I have experienced none of these,Effective,Effective,Effective,Effective,Neutral,Neutral,It doesn't look like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,I don't know/Not applicable,NA,Between 6 months and a year,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,2 + times per week,Daily,2 + times per week,2 + times per week,Very important,Very important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Unique experiences,Strongly agree,Strongly disagree,Strongly agree,Agree,"Sexually suggestive or sexist comments, Rude gestures, Uninvited lewd pictures",Effective,Neutral,Neutral,Strongly effective,Effective,Neutral,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,2-5 hours,Yes,Minnesota,Male,I don't know/Not applicable,People were shunning me and hanging up on me in VR chat.,Between 6 months and a year,NA
More than once a week,Daily,Rarely,Once a week,2+ times per week,Never used,Never used,Daily,Never used,Never used,Very unimportant,Very unimportant,Very unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,pr0n,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,It looks like me.,I don't use VR in my work.,2-5 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Monthly,2+ times per week,Once a week,Rarely,Rarely,Once a week,2 + times per week,Very important,Very unimportant,Important,Very unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Somewhat,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Agree,Agree,Agree,Agree,Strongly disagree,Disagree,Strongly agree,Unique experiences,Agree,Disagree,Agree,Agree,"Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures",Effective,Effective,Effective,Effective,Ineffective,Neutral,"It looks like me., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,Yes,Washington,Female,Yes,"I stepped into rec room and someone was playing loud music that was very offensive and I couldn't get away from it. I also was approached at the same time by a person who was trying to interact with me, but I didn't want to interact with them and I felt uncomfortable.",More than a year,NA
More than once a week,Daily,Monthly,Once a week,Daily,Daily,Monthly,Monthly,Once a week,2 + times per week,Neutral,Unimportant,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Very little,Acceptable,Acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Get work done,Agree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Neutral,Effective,Ineffective,Ineffective,It looks like me.,Over half of my time in VR is work-related.,11-20 hours,Yes,Oregon,Male,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,Daily,Daily,Daily,Rarely,Rarely,Rarely,Rarely,Rarely,Very unimportant,Very unimportant,Very unimportant,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password)",Somewhat,Acceptable,Acceptable,Acceptable,Acceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Get work done,Strongly agree,Disagree,Disagree,Disagree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,"The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,1 hour or less,Yes,Iowa,Male,I don't know/Not applicable,NA,Less than 3 months,NA
About once a week,Daily,Monthly,Monthly,2+ times per week,Daily,Once a week,Once a week,2 + times per week,2 + times per week,Very important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Unacceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Play games,Agree,Agree,Agree,Agree,I have experienced none of these,Neutral,Neutral,Strongly effective,Strongly effective,Effective,Effective,The graphics look realistic.,Over half of my time in VR is work-related.,6-10 hours,Yes,Washington,Male,No,NA,Less than 3 months,NA
More than once a week,Daily,Daily,Daily,Daily,Daily,Rarely,Rarely,Monthly,Monthly,Unimportant,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Not at all,Neutral,Neutral,Neutral,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Play games,Disagree,Disagree,Agree,Disagree,"Violent comments or threats, Rude gestures",Neutral,Effective,Ineffective,Strongly effective,Effective,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,6-10 hours,Yes,Washington,Gender variant/non-conforming,Yes,NA,More than a year,NA
More than once a week,Daily,Rarely,Daily,Daily,Rarely,2 + times per week,2 + times per week,Daily,Once a week,Neutral,Neutral,Very unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Acceptable,Acceptable,Acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Agree,Agree,Agree,Disagree,I have experienced none of these,Effective,Effective,Effective,Effective,Neutral,Neutral,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Rarely,2+ times per week,Daily,2 + times per week,Once a week,Once a week,Once a week,2 + times per week,Important,Very unimportant,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software",Not at all,Somewhat acceptable,Neutral,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Further VR & related tech fields by showing it's potential.,Disagree,Agree,Agree,Agree,"Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises",Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Don't know/NA,It doesn't look like me.,Over half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,Yes,"Rec room, male harasser, lewd come on / comment. Btw I am male.",More than a year,NA
More than once a week,Daily,Rarely,Daily,Daily,2 + times per week,Monthly,2 + times per week,Monthly,Once a week,Important,Neutral,Neutral,Important,"Encrypted texts (Signal, WhatsApp), Adblocker software",Very little,Somewhat acceptable,Somewhat acceptable,Acceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Agree,"Uninvited lewd pictures, Groping",Effective,Strongly effective,Neutral,Effective,Effective,Neutral,It looks non-human (robot/animal).,Less than half of my time in VR is work-related.,6-10 hours,Yes,California,Male,No,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,Rarely,Rarely,Monthly,Monthly,Rarely,Important,Neutral,Unimportant,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp)",Somewhat,Acceptable,Acceptable,Acceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Get work done,Strongly agree,Agree,Strongly agree,Agree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,More than 20 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,2 + times per week,Daily,Daily,Daily,Very important,Neutral,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Get work done,Disagree,Agree,Agree,Disagree,I have experienced none of these,Neutral,Ineffective,Effective,Strongly effective,Strongly effective,Effective,"It looks like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,11-20 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,Once a week,Monthly,Monthly,Once a week,Daily,Important,Unimportant,Very important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly agree,Get work done,Agree,Agree,Agree,Disagree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises",Effective,Effective,Effective,Effective,Effective,Neutral,It looks like me.,Over half of my time in VR is work-related.,More than 20 hours,Yes,New York,Male,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,Rarely,Daily,Rarely,Once a week,Once a week,Monthly,Monthly,Monthly,Important,Neutral,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Neutral,Neutral,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Unique experiences,Agree,Agree,Disagree,Agree,"Sexually suggestive or sexist comments, Racist or homophobic comments",Effective,Neutral,Effective,Effective,Effective,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",I don't use VR in my work.,2-5 hours,Yes,California,Male,I don't know/Not applicable,NA,More than a year,NA
2-3x/month,Daily,2+ times per week,Daily,Daily,Monthly,Rarely,Rarely,Monthly,Monthly,Neutral,Unimportant,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, Virtual Machine ",Very little,Somewhat unacceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Disagree,"Sexually suggestive or sexist comments, Rude gestures",Effective,Effective,Effective,Effective,Neutral,Ineffective,"It looks like me., It looks non-human (robot/animal).",I don't use VR in my work.,1 hour or less,Yes,Washington,Female,No,NA,More than a year,NA
More than once a week,Daily,Once a week,Monthly,Daily,Once a week,Daily,2 + times per week,Daily,Daily,Neutral,Important,Very important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Very little,Acceptable,Acceptable,Somewhat acceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Exciting experiences,Agree,Agree,Disagree,Strongly agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Uninvited lewd pictures, Groping, Nazi symbols",Strongly ineffective,Strongly effective,Neutral,Neutral,Strongly effective,Strongly ineffective,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,More than 20 hours,Yes,Washington,Male,Yes,"Being called the ""N"" word for no reason, as soon as I appeared in a room.",More than a year,NA
About once a week,Daily,Never used,Daily,Rarely,Rarely,Monthly,Rarely,Monthly,Monthly,Neutral,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Not at all,Neutral,Somewhat unacceptable,Neutral,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Unique experiences,Agree,Disagree,Disagree,Agree,Sexually suggestive or sexist comments,Effective,Strongly effective,Effective,Strongly effective,Don't know/NA,Don't know/NA,It looks like me.,Over half of my time in VR is work-related.,2-5 hours,Yes,Utah,Male,I don't know/Not applicable,"Crouched down in Altspace, prob to look at a texture or something,  and immediately experienced another avatar ""thrusting"" (ie stepping forward / back) in my face. I'm not scarred or anything, but it bothered me more than I would have expected --  much more than say, T-bagging on Halo or CoD. ",More than a year,NA
More than once a week,Daily,Daily,2+ times per week,2+ times per week,Rarely,Monthly,Rarely,2 + times per week,Daily,Very important,Important,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Not at all,Somewhat acceptable,Somewhat acceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Get work done,Disagree,Disagree,Agree,Agree,I have experienced none of these,Neutral,Ineffective,Ineffective,Strongly effective,Strongly effective,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Over half of my time in VR is work-related.,More than 20 hours,No,NA,Male,Yes,NA,More than a year,Australia
More than once a week,Daily,Once a week,Daily,Daily,2 + times per week,Monthly,2 + times per week,2 + times per week,2 + times per week,Neutral,Unimportant,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor)",Very little,Somewhat acceptable,Unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Exciting experiences,Agree,Disagree,Strongly disagree,Disagree,I have experienced none of these,Effective,Neutral,Effective,Effective,Effective,Neutral,It looks like me.,Over half of my time in VR is work-related.,2-5 hours,No,NA,Male,Yes,NA,More than a year,Israel 
More than once a week,Daily,2+ times per week,2+ times per week,Daily,Daily,Once a week,Daily,Daily,Daily,Very important,Neutral,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Somewhat acceptable,Somewhat acceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Unique experiences,Agree,Agree,Strongly agree,Disagree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Neutral,Neutral,The graphics look realistic.,Over half of my time in VR is work-related.,11-20 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Once a week,Once a week,Daily,Daily,Monthly,Once a week,Once a week,2 + times per week,Important,Important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Adblocker software",Very little,Somewhat acceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Unique experiences,Agree,Agree,Agree,Agree,I have experienced none of these,Effective,Strongly effective,Effective,Strongly effective,Neutral,Neutral,"It looks like me., It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,6-10 hours,Yes,Washington,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,Monthly,Daily,Rarely,Monthly,Monthly,Very important,Important,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software",Somewhat,Somewhat acceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Spend time with friends,Agree,Strongly disagree,Strongly agree,Strongly agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Assault, Groping",Strongly effective,Strongly effective,Effective,Strongly effective,Strongly effective,Neutral,"It looks like me., It looks non-human (robot/animal).",Over half of my time in VR is work-related.,More than 20 hours,Yes,California,Female,Yes,Groped and threatened ,More than a year,NA
More than once a week,Daily,Rarely,2+ times per week,Daily,2 + times per week,Once a week,Rarely,Monthly,Rarely,Important,Unimportant,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Very little,Somewhat acceptable,Somewhat acceptable,Somewhat acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Play games,Strongly agree,Strongly disagree,Agree,Agree,"Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Stalking",Effective,Neutral,Effective,Effective,Effective,Don't know/NA,"It looks like me., It looks non-human (robot/animal).",I don't use VR in my work.,2-5 hours,No,NA,Male,Yes,Random person trying to virtually give me a handjob while his friend was virtually masturbating.,More than a year,Sweden
